bioguideId,name,terms,state,party,birthYear,sponsoredLegislation_count,sponsoredLegislation_url,cosponsoredLegislation_count,cosponsoredLegislation_url,years_house,years_senate
G000555,"Gillibrand, Kirsten E.","{'item': [{'chamber': 'House of Representatives', 'endYear': 2009, 'startYear': 2007}, {'chamber': 'Senate', 'startYear': 2009}]}",New York,Democratic,1966,770.0,https://api.congress.gov/v3/member/G000555/sponsored-legislation,4438,https://api.congress.gov/v3/member/G000555/cosponsored-legislation,3,15
H001046,"Heinrich, Martin","{'item': [{'chamber': 'House of Representatives', 'endYear': 2013, 'startYear': 2009}, {'chamber': 'Senate', 'startYear': 2013}]}",New Mexico,Democratic,1971,360.0,https://api.congress.gov/v3/member/H001046/sponsored-legislation,2538,https://api.congress.gov/v3/member/H001046/cosponsored-legislation,5,11
G000386,"Grassley, Chuck","{'item': [{'chamber': 'House of Representatives', 'endYear': 1981, 'startYear': 1975}, {'chamber': 'Senate', 'startYear': 1981}]}",Iowa,Republican,1933,2302.0,https://api.congress.gov/v3/member/G000386/sponsored-legislation,7125,https://api.congress.gov/v3/member/G000386/cosponsored-legislation,7,43
G000359,"Graham, Lindsey","{'item': [{'chamber': 'House of Representatives', 'endYear': 2003, 'startYear': 1995}, {'chamber': 'Senate', 'startYear': 2003}]}",South Carolina,Republican,1955,685.0,https://api.congress.gov/v3/member/G000359/sponsored-legislation,3304,https://api.congress.gov/v3/member/G000359/cosponsored-legislation,9,21
E000295,"Ernst, Joni","{'item': [{'chamber': 'Senate', 'startYear': 2015}]}",Iowa,Republican,1970,465.0,https://api.congress.gov/v3/member/E000295/sponsored-legislation,1491,https://api.congress.gov/v3/member/E000295/cosponsored-legislation,0,9
F000463,"Fischer, Deb","{'item': [{'chamber': 'Senate', 'startYear': 2013}]}",Nebraska,Republican,1951,276.0,https://api.congress.gov/v3/member/F000463/sponsored-legislation,1197,https://api.congress.gov/v3/member/F000463/cosponsored-legislation,0,11
D000622,"Duckworth, Tammy","{'item': [{'chamber': 'House of Representatives', 'endYear': 2017, 'startYear': 2013}, {'chamber': 'Senate', 'startYear': 2017}]}",Illinois,Democratic,1968,422.0,https://api.congress.gov/v3/member/D000622/sponsored-legislation,2442,https://api.congress.gov/v3/member/D000622/cosponsored-legislation,5,7
F000062,"Feinstein, Dianne","{'item': [{'chamber': 'Senate', 'startYear': 1992}]}",California,Democratic,1933,2194.0,https://api.congress.gov/v3/member/F000062/sponsored-legislation,6646,https://api.congress.gov/v3/member/F000062/cosponsored-legislation,0,32
D000563,"Durbin, Richard J.","{'item': [{'chamber': 'House of Representatives', 'endYear': 1997, 'startYear': 1983}, {'chamber': 'Senate', 'startYear': 1997}]}",Illinois,Democratic,1944,1833.0,https://api.congress.gov/v3/member/D000563/sponsored-legislation,9634,https://api.congress.gov/v3/member/D000563/cosponsored-legislation,15,27
C001113,"Cortez Masto, Catherine","{'item': [{'chamber': 'Senate', 'startYear': 2017}]}",Nevada,Democratic,1964,383.0,https://api.congress.gov/v3/member/C001113/sponsored-legislation,1587,https://api.congress.gov/v3/member/C001113/cosponsored-legislation,0,7
C001096,"Cramer, Kevin","{'item': [{'chamber': 'House of Representatives', 'endYear': 2019, 'startYear': 2013}, {'chamber': 'Senate', 'startYear': 2019}]}",North Dakota,Republican,1961,193.0,https://api.congress.gov/v3/member/C001096/sponsored-legislation,2620,https://api.congress.gov/v3/member/C001096/cosponsored-legislation,7,5
D000618,"Daines, Steve","{'item': [{'chamber': 'House of Representatives', 'endYear': 2015, 'startYear': 2013}, {'chamber': 'Senate', 'startYear': 2015}]}",Montana,Republican,1962,481.0,https://api.congress.gov/v3/member/D000618/sponsored-legislation,1883,https://api.congress.gov/v3/member/D000618/cosponsored-legislation,3,9
C001095,"Cotton, Tom","{'item': [{'chamber': 'House of Representatives', 'endYear': 2015, 'startYear': 2013}, {'chamber': 'Senate', 'startYear': 2015}]}",Arkansas,Republican,1977,403.0,https://api.congress.gov/v3/member/C001095/sponsored-legislation,1575,https://api.congress.gov/v3/member/C001095/cosponsored-legislation,3,9
C001056,"Cornyn, John","{'item': [{'chamber': 'Senate', 'startYear': 2002}]}",Texas,Republican,1952,1281.0,https://api.congress.gov/v3/member/C001056/sponsored-legislation,3417,https://api.congress.gov/v3/member/C001056/cosponsored-legislation,0,22
C000880,"Crapo, Mike","{'item': [{'chamber': 'House of Representatives', 'endYear': 1999, 'startYear': 1993}, {'chamber': 'Senate', 'startYear': 1999}]}",Idaho,Republican,1951,558.0,https://api.congress.gov/v3/member/C000880/sponsored-legislation,3829,https://api.congress.gov/v3/member/C000880/cosponsored-legislation,7,25
C001070,"Casey, Robert P., Jr.","{'item': [{'chamber': 'Senate', 'startYear': 2007}]}",Pennsylvania,Democratic,1960,1142.0,https://api.congress.gov/v3/member/C001070/sponsored-legislation,3840,https://api.congress.gov/v3/member/C001070/cosponsored-legislation,0,17
C001088,"Coons, Christopher A.","{'item': [{'chamber': 'Senate', 'startYear': 2010}]}",Delaware,Democratic,1963,566.0,https://api.congress.gov/v3/member/C001088/sponsored-legislation,3279,https://api.congress.gov/v3/member/C001088/cosponsored-legislation,0,14
C001075,"Cassidy, Bill","{'item': [{'chamber': 'House of Representatives', 'endYear': 2015, 'startYear': 2009}, {'chamber': 'Senate', 'startYear': 2015}]}",Louisiana,Republican,1957,498.0,https://api.congress.gov/v3/member/C001075/sponsored-legislation,1891,https://api.congress.gov/v3/member/C001075/cosponsored-legislation,7,9
C001035,"Collins, Susan M.","{'item': [{'chamber': 'Senate', 'startYear': 1997}]}",Maine,Republican,1952,1128.0,https://api.congress.gov/v3/member/C001035/sponsored-legislation,5990,https://api.congress.gov/v3/member/C001035/cosponsored-legislation,0,27
C001047,"Capito, Shelley Moore","{'item': [{'chamber': 'House of Representatives', 'endYear': 2015, 'startYear': 2001}, {'chamber': 'Senate', 'startYear': 2015}]}",West Virginia,Republican,1953,349.0,https://api.congress.gov/v3/member/C001047/sponsored-legislation,3350,https://api.congress.gov/v3/member/C001047/cosponsored-legislation,15,9
C000174,"Carper, Thomas R.","{'item': [{'chamber': 'House of Representatives', 'endYear': 1993, 'startYear': 1983}, {'chamber': 'Senate', 'startYear': 2001}]}",Delaware,Democratic,1947,755.0,https://api.congress.gov/v3/member/C000174/sponsored-legislation,4437,https://api.congress.gov/v3/member/C000174/cosponsored-legislation,11,23
C000141,"Cardin, Benjamin L.","{'item': [{'chamber': 'House of Representatives', 'endYear': 2007, 'startYear': 1987}, {'chamber': 'Senate', 'startYear': 2007}]}",Maryland,Democratic,1943,1251.0,https://api.congress.gov/v3/member/C000141/sponsored-legislation,6027,https://api.congress.gov/v3/member/C000141/cosponsored-legislation,21,17
B001310,"Braun, Mike","{'item': [{'chamber': 'Senate', 'startYear': 2019}]}",Indiana,Republican,1954,369.0,https://api.congress.gov/v3/member/B001310/sponsored-legislation,1412,https://api.congress.gov/v3/member/B001310/cosponsored-legislation,0,5
B001236,"Boozman, John","{'item': [{'chamber': 'House of Representatives', 'endYear': 2011, 'startYear': 2001}, {'chamber': 'Senate', 'startYear': 2011}]}",Arkansas,Republican,1950,364.0,https://api.congress.gov/v3/member/B001236/sponsored-legislation,3791,https://api.congress.gov/v3/member/B001236/cosponsored-legislation,11,13
C000127,"Cantwell, Maria","{'item': [{'chamber': 'House of Representatives', 'endYear': 1995, 'startYear': 1993}, {'chamber': 'Senate', 'startYear': 2001}]}",Washington,Democratic,1958,873.0,https://api.congress.gov/v3/member/C000127/sponsored-legislation,3887,https://api.congress.gov/v3/member/C000127/cosponsored-legislation,3,23
