Legislation Number,URL,Congress,Sponsor,Number of Cosponsors,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor
S. 3948,https://www.congress.gov/bill/116th-congress/senate-bill/3948,116th Congress (2019-2020),"Murkowski, Lisa [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3846,https://www.congress.gov/bill/116th-congress/senate-bill/3846,116th Congress (2019-2020),"Schatz, Brian [Sen.-D-HI]",18,"Feinstein, Dianne [Sen.-D-CA]","Murray, Patty [Sen.-D-WA]","Durbin, Richard J. [Sen.-D-IL]","Murkowski, Lisa [Sen.-R-AK]","Brown, Sherrod [Sen.-D-OH]","Tester, Jon [Sen.-D-MT]","Whitehouse, Sheldon [Sen.-D-RI]","Shaheen, Jeanne [Sen.-D-NH]","Bennet, Michael F. [Sen.-D-CO]","Coons, Christopher A. [Sen.-D-DE]","Blumenthal, Richard [Sen.-D-CT]","Kaine, Tim [Sen.-D-VA]","Warren, Elizabeth [Sen.-D-MA]","Markey, Edward J. [Sen.-D-MA]","Booker, Cory A. [Sen.-D-NJ]","Duckworth, Tammy [Sen.-D-IL]","Blackburn, Marsha [Sen.-R-TN]","Smith, Tina [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3841,https://www.congress.gov/bill/116th-congress/senate-bill/3841,116th Congress (2019-2020),"Grassley, Chuck [Sen.-R-IA]",6,"Wyden, Ron [Sen.-D-OR]","Brown, Sherrod [Sen.-D-OH]","Scott, Tim [Sen.-R-SC]","Reed, Jack [Sen.-D-RI]","Schumer, Charles E. [Sen.-D-NY]","Van Hollen, Chris [Sen.-D-MD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3839,https://www.congress.gov/bill/116th-congress/senate-bill/3839,116th Congress (2019-2020),"Young, Todd [Sen.-R-IN]",1,"Braun, Mike [Sen.-R-IN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3798,https://www.congress.gov/bill/116th-congress/senate-bill/3798,116th Congress (2019-2020),"Toomey, Patrick [Sen.-R-PA]",11,"Graham, Lindsey [Sen.-R-SC]","Merkley, Jeff [Sen.-D-OR]","Jones, Doug [Sen.-D-AL]","Cramer, Kevin [Sen.-R-ND]","Blumenthal, Richard [Sen.-D-CT]","Tillis, Thomas [Sen.-R-NC]","Van Hollen, Chris [Sen.-D-MD]","Cotton, Tom [Sen.-R-AR]","Cruz, Ted [Sen.-R-TX]","McSally, Martha [Sen.-R-AZ]","Sasse, Ben [Sen.-R-NE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3782,https://www.congress.gov/bill/116th-congress/senate-bill/3782,116th Congress (2019-2020),"Duckworth, Tammy [Sen.-D-IL]",6,"Cardin, Benjamin L. [Sen.-D-MD]","Risch, James E. [Sen.-R-ID]","Shaheen, Jeanne [Sen.-D-NH]","Coons, Christopher A. [Sen.-D-DE]","Rubio, Marco [Sen.-R-FL]","Blackburn, Marsha [Sen.-R-TN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3758,https://www.congress.gov/bill/116th-congress/senate-bill/3758,116th Congress (2019-2020),"Merkley, Jeff [Sen.-D-OR]",1,"Wyden, Ron [Sen.-D-OR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3744,https://www.congress.gov/bill/116th-congress/senate-bill/3744,116th Congress (2019-2020),"Rubio, Marco [Sen.-R-FL]",66,"Leahy, Patrick J. [Sen.-D-VT]","Grassley, Chuck [Sen.-R-IA]","Feinstein, Dianne [Sen.-D-CA]","Murray, Patty [Sen.-D-WA]","Inhofe, James M. [Sen.-R-OK]","Wyden, Ron [Sen.-D-OR]","Collins, Susan M. [Sen.-R-ME]","Durbin, Richard J. [Sen.-D-IL]","Reed, Jack [Sen.-D-RI]","Crapo, Mike [Sen.-R-ID]","Cornyn, John [Sen.-R-TX]","Thune, John [Sen.-R-SD]","Menendez, Robert [Sen.-D-NJ]","Brown, Sherrod [Sen.-D-OH]","Cardin, Benjamin L. [Sen.-D-MD]","Casey, Robert P., Jr. [Sen.-D-PA]","Klobuchar, Amy [Sen.-D-MN]","Sanders, Bernard [Sen.-I-VT]","Whitehouse, Sheldon [Sen.-D-RI]","Merkley, Jeff [Sen.-D-OR]","Risch, James E. [Sen.-R-ID]","Shaheen, Jeanne [Sen.-D-NH]","Warner, Mark R. [Sen.-D-VA]","Bennet, Michael F. [Sen.-D-CO]","Gillibrand, Kirsten E. [Sen.-D-NY]","Coons, Christopher A. [Sen.-D-DE]","Blumenthal, Richard [Sen.-D-CT]","Boozman, John [Sen.-R-AR]","Hoeven, John [Sen.-R-ND]","Johnson, Ron [Sen.-R-WI]","Moran, Jerry [Sen.-R-KS]","Portman, Rob [Sen.-R-OH]","Schatz, Brian [Sen.-D-HI]","Cruz, Ted [Sen.-R-TX]","Fischer, Deb [Sen.-R-NE]","Kaine, Tim [Sen.-D-VA]","King, Angus S., Jr. [Sen.-I-ME]","Warren, Elizabeth [Sen.-D-MA]","Markey, Edward J. [Sen.-D-MA]","Booker, Cory A. [Sen.-D-NJ]","Capito, Shelley Moore [Sen.-R-WV]","Cotton, Tom [Sen.-R-AR]","Daines, Steve [Sen.-R-MT]","Gardner, Cory [Sen.-R-CO]","Lankford, James [Sen.-R-OK]","Peters, Gary C. [Sen.-D-MI]","Sasse, Ben [Sen.-R-NE]","Sullivan, Dan [Sen.-R-AK]","Tillis, Thomas [Sen.-R-NC]","Cortez Masto, Catherine [Sen.-D-NV]","Harris, Kamala D. [Sen.-D-CA]","Hassan, Margaret Wood [Sen.-D-NH]","Van Hollen, Chris [Sen.-D-MD]","Young, Todd [Sen.-R-IN]","Smith, Tina [Sen.-D-MN]","Blackburn, Marsha [Sen.-R-TN]","Braun, Mike [Sen.-R-IN]","Cramer, Kevin [Sen.-R-ND]","Hawley, Josh [Sen.-R-MO]","McSally, Martha [Sen.-R-AZ]","Romney, Mitt [Sen.-R-UT]","Sinema, Kyrsten [Sen.-D-AZ]","Scott, Rick [Sen.-R-FL]","Loeffler, Kelly [Sen.-R-GA]","Toomey, Patrick [Sen.-R-PA]","Rounds, Mike [Sen.-R-SD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3731,https://www.congress.gov/bill/116th-congress/senate-bill/3731,116th Congress (2019-2020),"Grassley, Chuck [Sen.-R-IA]",18,"Feinstein, Dianne [Sen.-D-CA]","Murray, Patty [Sen.-D-WA]","Wyden, Ron [Sen.-D-OR]","Collins, Susan M. [Sen.-R-ME]","Carper, Thomas R. [Sen.-D-DE]","Brown, Sherrod [Sen.-D-OH]","Casey, Robert P., Jr. [Sen.-D-PA]","Sanders, Bernard [Sen.-I-VT]","Portman, Rob [Sen.-R-OH]","King, Angus S., Jr. [Sen.-I-ME]","Peters, Gary C. [Sen.-D-MI]","Hassan, Margaret Wood [Sen.-D-NH]","Young, Todd [Sen.-R-IN]","Hyde-Smith, Cindy [Sen.-R-MS]","Romney, Mitt [Sen.-R-UT]","Sinema, Kyrsten [Sen.-D-AZ]","Loeffler, Kelly [Sen.-R-GA]","Barrasso, John [Sen.-R-WY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3729,https://www.congress.gov/bill/116th-congress/senate-bill/3729,116th Congress (2019-2020),"Wicker, Roger F. [Sen.-R-MS]",4,"Cantwell, Maria [Sen.-D-WA]","Thune, John [Sen.-R-SD]","Fischer, Deb [Sen.-R-NE]","Duckworth, Tammy [Sen.-D-IL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3703,https://www.congress.gov/bill/116th-congress/senate-bill/3703,116th Congress (2019-2020),"Collins, Susan M. [Sen.-R-ME]",27,"Perdue, David [Sen.-R-GA]","Grassley, Chuck [Sen.-R-IA]","Menendez, Robert [Sen.-D-NJ]","Blumenthal, Richard [Sen.-D-CT]","Capito, Shelley Moore [Sen.-R-WV]","Shaheen, Jeanne [Sen.-D-NH]","Markey, Edward J. [Sen.-D-MA]","Tillis, Thomas [Sen.-R-NC]","Rosen, Jacky [Sen.-D-NV]","Moran, Jerry [Sen.-R-KS]","Booker, Cory A. [Sen.-D-NJ]","Coons, Christopher A. [Sen.-D-DE]","Gardner, Cory [Sen.-R-CO]","Sinema, Kyrsten [Sen.-D-AZ]","Wicker, Roger F. [Sen.-R-MS]","Bennet, Michael F. [Sen.-D-CO]","Rubio, Marco [Sen.-R-FL]","Daines, Steve [Sen.-R-MT]","Reed, Jack [Sen.-D-RI]","Boozman, John [Sen.-R-AR]","Cassidy, Bill [Sen.-R-LA]","Braun, Mike [Sen.-R-IN]","Barrasso, John [Sen.-R-WY]","Brown, Sherrod [Sen.-D-OH]","Fischer, Deb [Sen.-R-NE]","Scott, Tim [Sen.-R-SC]","Inhofe, James M. [Sen.-R-OK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3681,https://www.congress.gov/bill/116th-congress/senate-bill/3681,116th Congress (2019-2020),"Markey, Edward J. [Sen.-D-MA]",1,"Blumenthal, Richard [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3637,https://www.congress.gov/bill/116th-congress/senate-bill/3637,116th Congress (2019-2020),"Tester, Jon [Sen.-D-MT]",16,"Warren, Elizabeth [Sen.-D-MA]","Sinema, Kyrsten [Sen.-D-AZ]","Reed, Jack [Sen.-D-RI]","Brown, Sherrod [Sen.-D-OH]","Manchin, Joe, III [Sen.-D-WV]","Blumenthal, Richard [Sen.-D-CT]","Boozman, John [Sen.-R-AR]","Moran, Jerry [Sen.-R-KS]","Hirono, Mazie K. [Sen.-D-HI]","Cassidy, Bill [Sen.-R-LA]","Rounds, Mike [Sen.-R-SD]","Sullivan, Dan [Sen.-R-AK]","Tillis, Thomas [Sen.-R-NC]","Blackburn, Marsha [Sen.-R-TN]","Cramer, Kevin [Sen.-R-ND]","Loeffler, Kelly [Sen.-R-GA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3607,https://www.congress.gov/bill/116th-congress/senate-bill/3607,116th Congress (2019-2020),"Grassley, Chuck [Sen.-R-IA]",22,"Stabenow, Debbie [Sen.-D-MI]","Shaheen, Jeanne [Sen.-D-NH]","Capito, Shelley Moore [Sen.-R-WV]","Peters, Gary C. [Sen.-D-MI]","Hassan, Margaret Wood [Sen.-D-NH]","Cramer, Kevin [Sen.-R-ND]","McSally, Martha [Sen.-R-AZ]","Feinstein, Dianne [Sen.-D-CA]","Collins, Susan M. [Sen.-R-ME]","Schumer, Charles E. [Sen.-D-NY]","Menendez, Robert [Sen.-D-NJ]","Gillibrand, Kirsten E. [Sen.-D-NY]","Coons, Christopher A. [Sen.-D-DE]","Blumenthal, Richard [Sen.-D-CT]","Moran, Jerry [Sen.-R-KS]","Cruz, Ted [Sen.-R-TX]","Booker, Cory A. [Sen.-D-NJ]","Daines, Steve [Sen.-R-MT]","Loeffler, Kelly [Sen.-R-GA]","Tester, Jon [Sen.-D-MT]","Tillis, Thomas [Sen.-R-NC]","Scott, Rick [Sen.-R-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3587,https://www.congress.gov/bill/116th-congress/senate-bill/3587,116th Congress (2019-2020),"Casey, Robert P., Jr. [Sen.-D-PA]",2,"Klobuchar, Amy [Sen.-D-MN]","Moran, Jerry [Sen.-R-KS]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3503,https://www.congress.gov/bill/116th-congress/senate-bill/3503,116th Congress (2019-2020),"Moran, Jerry [Sen.-R-KS]",30,"Lankford, James [Sen.-R-OK]","Murray, Patty [Sen.-D-WA]","Inhofe, James M. [Sen.-R-OK]","Wyden, Ron [Sen.-D-OR]","Collins, Susan M. [Sen.-R-ME]","Durbin, Richard J. [Sen.-D-IL]","Cornyn, John [Sen.-R-TX]","Brown, Sherrod [Sen.-D-OH]","Tester, Jon [Sen.-D-MT]","Bennet, Michael F. [Sen.-D-CO]","Manchin, Joe, III [Sen.-D-WV]","Blumenthal, Richard [Sen.-D-CT]","Boozman, John [Sen.-R-AR]","Hirono, Mazie K. [Sen.-D-HI]","Warren, Elizabeth [Sen.-D-MA]","Cassidy, Bill [Sen.-R-LA]","Daines, Steve [Sen.-R-MT]","Peters, Gary C. [Sen.-D-MI]","Rounds, Mike [Sen.-R-SD]","Sullivan, Dan [Sen.-R-AK]","Tillis, Thomas [Sen.-R-NC]","Cortez Masto, Catherine [Sen.-D-NV]","Duckworth, Tammy [Sen.-D-IL]","Van Hollen, Chris [Sen.-D-MD]","Blackburn, Marsha [Sen.-R-TN]","Cramer, Kevin [Sen.-R-ND]","McSally, Martha [Sen.-R-AZ]","Rosen, Jacky [Sen.-D-NV]","Sinema, Kyrsten [Sen.-D-AZ]","Loeffler, Kelly [Sen.-R-GA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3501,https://www.congress.gov/bill/116th-congress/senate-bill/3501,116th Congress (2019-2020),"McConnell, Mitch [Sen.-R-KY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3462,https://www.congress.gov/bill/116th-congress/senate-bill/3462,116th Congress (2019-2020),"Cornyn, John [Sen.-R-TX]",1,"Cruz, Ted [Sen.-R-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3461,https://www.congress.gov/bill/116th-congress/senate-bill/3461,116th Congress (2019-2020),"Cornyn, John [Sen.-R-TX]",1,"Cruz, Ted [Sen.-R-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3455,https://www.congress.gov/bill/116th-congress/senate-bill/3455,116th Congress (2019-2020),"Hawley, Josh [Sen.-R-MO]",5,"McSally, Martha [Sen.-R-AZ]","Cotton, Tom [Sen.-R-AR]","Scott, Rick [Sen.-R-FL]","Ernst, Joni [Sen.-R-IA]","Kennedy, John [Sen.-R-LA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3451,https://www.congress.gov/bill/116th-congress/senate-bill/3451,116th Congress (2019-2020),"Scott, Tim [Sen.-R-SC]",8,"Blumenthal, Richard [Sen.-D-CT]","Gillibrand, Kirsten E. [Sen.-D-NY]","Baldwin, Tammy [Sen.-D-WI]","Collins, Susan M. [Sen.-R-ME]","King, Angus S., Jr. [Sen.-I-ME]","Murphy, Christopher [Sen.-D-CT]","Shaheen, Jeanne [Sen.-D-NH]","Tillis, Thomas [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3434,https://www.congress.gov/bill/116th-congress/senate-bill/3434,116th Congress (2019-2020),"Cortez Masto, Catherine [Sen.-D-NV]",5,"Stabenow, Debbie [Sen.-D-MI]","Young, Todd [Sen.-R-IN]","Grassley, Chuck [Sen.-R-IA]","Tillis, Thomas [Sen.-R-NC]","Leahy, Patrick J. [Sen.-D-VT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3418,https://www.congress.gov/bill/116th-congress/senate-bill/3418,116th Congress (2019-2020),"Peters, Gary C. [Sen.-D-MI]",5,"Klobuchar, Amy [Sen.-D-MN]","Johnson, Ron [Sen.-R-WI]","Stabenow, Debbie [Sen.-D-MI]","Lankford, James [Sen.-R-OK]","Schumer, Charles E. [Sen.-D-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3414,https://www.congress.gov/bill/116th-congress/senate-bill/3414,116th Congress (2019-2020),"Moran, Jerry [Sen.-R-KS]",1,"Tester, Jon [Sen.-D-MT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3377,https://www.congress.gov/bill/116th-congress/senate-bill/3377,116th Congress (2019-2020),"Graham, Lindsey [Sen.-R-SC]",3,"Feinstein, Dianne [Sen.-D-CA]","Klobuchar, Amy [Sen.-D-MN]","Lee, Mike [Sen.-R-UT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3325,https://www.congress.gov/bill/116th-congress/senate-bill/3325,116th Congress (2019-2020),"Cornyn, John [Sen.-R-TX]",2,"Menendez, Robert [Sen.-D-NJ]","Cardin, Benjamin L. [Sen.-D-MD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3312,https://www.congress.gov/bill/116th-congress/senate-bill/3312,116th Congress (2019-2020),"Cornyn, John [Sen.-R-TX]",3,"Blumenthal, Richard [Sen.-D-CT]","Feinstein, Dianne [Sen.-D-CA]","Tillis, Thomas [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3287,https://www.congress.gov/bill/116th-congress/senate-bill/3287,116th Congress (2019-2020),"Enzi, Michael B. [Sen.-R-WY]",10,"Sinema, Kyrsten [Sen.-D-AZ]","Braun, Mike [Sen.-R-IN]","Peters, Gary C. [Sen.-D-MI]","Grassley, Chuck [Sen.-R-IA]","Warner, Mark R. [Sen.-D-VA]","Johnson, Ron [Sen.-R-WI]","Lankford, James [Sen.-R-OK]","Perdue, David [Sen.-R-GA]","Hassan, Margaret Wood [Sen.-D-NH]","Loeffler, Kelly [Sen.-R-GA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3257,https://www.congress.gov/bill/116th-congress/senate-bill/3257,116th Congress (2019-2020),"Johnson, Ron [Sen.-R-WI]",1,"Baldwin, Tammy [Sen.-D-WI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3248,https://www.congress.gov/bill/116th-congress/senate-bill/3248,116th Congress (2019-2020),"Moran, Jerry [Sen.-R-KS]",1,"Blumenthal, Richard [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3239,https://www.congress.gov/bill/116th-congress/senate-bill/3239,116th Congress (2019-2020),"Wicker, Roger F. [Sen.-R-MS]",10,"Sullivan, Dan [Sen.-R-AK]","Cantwell, Maria [Sen.-D-WA]","Carper, Thomas R. [Sen.-D-DE]","Casey, Robert P., Jr. [Sen.-D-PA]","Barrasso, John [Sen.-R-WY]","Toomey, Patrick [Sen.-R-PA]","Scott, Tim [Sen.-R-SC]","Booker, Cory A. [Sen.-D-NJ]","Harris, Kamala D. [Sen.-D-CA]","Inhofe, James M. [Sen.-R-OK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3201,https://www.congress.gov/bill/116th-congress/senate-bill/3201,116th Congress (2019-2020),"Graham, Lindsey [Sen.-R-SC]",6,"Grassley, Chuck [Sen.-R-IA]","Feinstein, Dianne [Sen.-D-CA]","Durbin, Richard J. [Sen.-D-IL]","Cornyn, John [Sen.-R-TX]","Menendez, Robert [Sen.-D-NJ]","Hassan, Margaret Wood [Sen.-D-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3152,https://www.congress.gov/bill/116th-congress/senate-bill/3152,116th Congress (2019-2020),"Rosen, Jacky [Sen.-D-NV]",13,"Peters, Gary C. [Sen.-D-MI]","Schatz, Brian [Sen.-D-HI]","Fischer, Deb [Sen.-R-NE]","Young, Todd [Sen.-R-IN]","Jones, Doug [Sen.-D-AL]","Markey, Edward J. [Sen.-D-MA]","Collins, Susan M. [Sen.-R-ME]","King, Angus S., Jr. [Sen.-I-ME]","Smith, Tina [Sen.-D-MN]","Blumenthal, Richard [Sen.-D-CT]","Van Hollen, Chris [Sen.-D-MD]","Braun, Mike [Sen.-R-IN]","Klobuchar, Amy [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3147,https://www.congress.gov/bill/116th-congress/senate-bill/3147,116th Congress (2019-2020),"Manchin, Joe, III [Sen.-D-WV]",1,"Capito, Shelley Moore [Sen.-R-WV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3105,https://www.congress.gov/bill/116th-congress/senate-bill/3105,116th Congress (2019-2020),"Braun, Mike [Sen.-R-IN]",1,"Young, Todd [Sen.-R-IN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3100,https://www.congress.gov/bill/116th-congress/senate-bill/3100,116th Congress (2019-2020),"Murkowski, Lisa [Sen.-R-AK]",1,"Sullivan, Dan [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3099,https://www.congress.gov/bill/116th-congress/senate-bill/3099,116th Congress (2019-2020),"Murkowski, Lisa [Sen.-R-AK]",1,"Sullivan, Dan [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3084,https://www.congress.gov/bill/116th-congress/senate-bill/3084,116th Congress (2019-2020),"Moran, Jerry [Sen.-R-KS]",1,"Tester, Jon [Sen.-D-MT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3076,https://www.congress.gov/bill/116th-congress/senate-bill/3076,116th Congress (2019-2020),"Roberts, Pat [Sen.-R-KS]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3051,https://www.congress.gov/bill/116th-congress/senate-bill/3051,116th Congress (2019-2020),"Barrasso, John [Sen.-R-WY]",9,"Heinrich, Martin [Sen.-D-NM]","Carper, Thomas R. [Sen.-D-DE]","Cardin, Benjamin L. [Sen.-D-MD]","Capito, Shelley Moore [Sen.-R-WV]","Van Hollen, Chris [Sen.-D-MD]","Cramer, Kevin [Sen.-R-ND]","Inhofe, James M. [Sen.-R-OK]","Boozman, John [Sen.-R-AR]","Duckworth, Tammy [Sen.-D-IL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
